id	availability	condition	description	image_link	link	title	price	mpn	gender	google_product_category	shipping	shipping_weight
163236	in stock	new	hooded color block hoodies, Color Block Raglan Sleeve Zip Hoodie	http://pic.fashionmia.com/catalog/products/original/images/11A7237EBFE3/3039627_8.jpg_z.jpg	http://www.fashionmia.com/Products/color-block-raglan-sleeve-zip-hoodie-163236.html	Color Block Raglan Sleeve Zip Hoodie	14.96 USD	11A7237EBFE3	female	Apparel & Accessories > Clothing > Shirts & Tops > Sweatshirts	US:*:Ground:3.75 USD	262g
164706	in stock	new	decorative lace elastic waist date party empire line belt split neck autumn spring belt 1 dress 1, Split Neck Decorative Lace Elastic Waist Belt Maxi Dress	http://pic.fashionmia.com/catalog/products/original/images/11AC33B89913/103546_3.jpg_z.jpg	http://www.fashionmia.com/Products/split-neck-decorative-lace-elastic-waist-belt-maxi-dress-164706.html	Split Neck Decorative Lace Elastic Waist Belt Maxi Dress	41.95 USD	11AC33B89913	female	Apparel & Accessories > Clothing > Dresses	US:*:Ground:5.73 USD	460g
164004	in stock	new	asymmetric neck asymmetric hem embroidery hollow out date flared summer, Crew Neck Organza Embroidery Skater Dress	http://pic.fashionmia.com/catalog/products/original/images/11FCDD9A78B0/3044122_11.jpg_z.jpg	http://www.fashionmia.com/Products/crew-neck-organza-embroidery-skater-dress-164004.html	Crew Neck Organza Embroidery Skater Dress	27.95 USD	11FCDD9A78B0	female	Apparel & Accessories > Clothing > Dresses	US:*:Ground:3.23 USD	210g
164221	in stock	new	high neck hollow out plain nightout party fitted summer, High Neck Hollow Out Plain Bodycon Dress	http://pic.fashionmia.com/catalog/products/original/images/123EF21D6ECA/3044502_2.jpg_z.jpg	http://www.fashionmia.com/Products/high-neck-hollow-out-plain-bodycon-dress-164221.html	High Neck Hollow Out Plain Bodycon Dress	14.95 USD	123EF21D6ECA	female	Apparel & Accessories > Clothing > Dresses > Cocktail Dresses	US:*:Ground:3.12 USD	200g
164421	in stock	new	plain formal office knee-length flared belt round neck autumn spring, Round Neck Belt Plain Skater Dress	http://pic.fashionmia.com/catalog/products/original/images/1277FD42F6C7/3044454_2.jpg_z.jpg	http://www.fashionmia.com/Products/round-neck-belt-plain-skater-dress-164421.html	Round Neck Belt Plain Skater Dress	26.95 USD	1277FD42F6C7	female	Apparel & Accessories > Clothing > Dresses	US:*:Ground:7.88 USD	676g
162854	in stock	new	zips asymmetrical hems patchwork t-shirts, Round Neck Zips Asymmetric Hem Long Sleeve T-shirt	http://pic.fashionmia.com/catalog/products/original/images/127AFABB5654/3041119_4.jpg_z.jpg	http://www.fashionmia.com/Products/round-neck-zips-asymmetric-hem-long-sleeve-t-shirt-162854.html	Round Neck Zips Asymmetric Hem Long Sleeve T-shirt	19.95 USD	127AFABB5654	female	Apparel & Accessories > Clothing > Shirts & Tops	US:*:Ground:3.83 USD	270g
162911	in stock	new	pockets plain going out street above knee, Round Neck Split Pockets Plain Shift Dress	http://pic.fashionmia.com/catalog/products/original/images/12855EF30A3A/104352_1.jpg_z.jpg	http://www.fashionmia.com/Products/round-neck-split-pockets-plain-shift-dress-162911.html	Round Neck Split Pockets Plain Shift Dress	20.95 USD	12855EF30A3A	female	Apparel & Accessories > Clothing > Dresses	US:*:Ground:6.39 USD	526g
164500	in stock	new	patch pocket slit plain date knee-length shift turtleneck autumn spring winter, Turtleneck Patch Pocket Slit Plain Shift Dress	http://pic.fashionmia.com/catalog/products/original/images/12B1A9B8A830/3044416_10.jpg_z.jpg	http://www.fashionmia.com/Products/turtleneck-patch-pocket-slit-plain-shift-dress-164500.html	Turtleneck Patch Pocket Slit Plain Shift Dress	19.15 USD	12B1A9B8A830	female	Apparel & Accessories > Clothing > Dresses	US:*:Ground:5.63 USD	451g
163000	in stock	new	hoodies, Punk Skeleton Printed Sweatshirt	http://pic.fashionmia.com/catalog/products/original/images/12C7B7734C0B/3041965_2.jpg_z.jpg	http://www.fashionmia.com/Products/punk-skeleton-printed-sweatshirt-163000.html	Punk Skeleton Printed Sweatshirt	12.71 USD	12C7B7734C0B	female	Apparel & Accessories > Clothing > Shirts & Tops > Sweatshirts	US:*:Ground:4.25 USD	312g
163589	in stock	new	boat neck paillette patchwork split nightout party fitted, Boat Neck Glitter Patchwork Plain Split Bodycon Dress	http://pic.fashionmia.com/catalog/products/original/images/12D8652D17B0/3041388_16.jpg_z.jpg	http://www.fashionmia.com/Products/boat-neck-glitter-patchwork-plain-split-bodycon-dress-163589.html	Boat Neck Glitter Patchwork Plain Split Bodycon Dress	19.95 USD	12D8652D17B0	female	Apparel & Accessories > Clothing > Dresses > Cocktail Dresses	US:*:Ground:5.29 USD	416g
